BRICK,50,120,Gray,1,0
BRICK,100,120,Gray,1,0
BRICK,150,120,Gray,1,0
BRICK,200,120,Gray,1,0
BRICK,300,120,Gray,1,0
BRICK,350,120,Gray,1,0
BRICK,400,120,Gray,1,0
BRICK,450,120,Gray,1,0
BRICK,500,120,Gray,1,0
BRICK,100,145,Red,1,0
BRICK,150,145,Red,1,0
BRICK,200,145,Red,1,0
BRICK,250,145,Red,1,0
BRICK,300,145,Red,1,0
BRICK,350,145,Red,1,0
BRICK,400,145,Red,1,0
BRICK,500,145,Red,1,0
BRICK,550,145,Red,1,0
BRICK,50,170,Yellow,1,0
BRICK,100,170,Yellow,1,0
BRICK,150,170,Yellow,1,0
BRICK,200,170,Yellow,1,0
BRICK,250,170,Yellow,1,0
BRICK,300,170,Yellow,1,0
BRICK,350,170,Yellow,1,0
BRICK,400,170,Yellow,1,0
BRICK,450,170,Yellow,1,0
BRICK,500,170,Yellow,1,0
BRICK,100,195,Blue,1,0
BRICK,150,195,Blue,1,0
BRICK,250,195,Blue,1,0
BRICK,300,195,Blue,1,0
BRICK,350,195,Blue,1,0
BRICK,450,195,Blue,1,0
BRICK,500,195,Blue,1,0
BRICK,550,195,Blue,1,0
BRICK,50,220,Pink,1,0
BRICK,100,220,Pink,1,0
BRICK,150,220,Pink,1,0
BRICK,200,220,Pink,1,0
BRICK,250,220,Pink,1,0
BRICK,350,220,Pink,1,0
BRICK,400,220,Pink,1,0
BRICK,450,220,Pink,1,0
BRICK,500,220,Pink,1,0
BRICK,100,245,Green,1,0
BRICK,200,245,Green,1,0
BRICK,250,245,Green,1,0
BRICK,300,245,Green,1,0
BRICK,350,245,Green,1,0
BRICK,400,245,Green,1,0
BRICK,450,245,Green,1,0
BRICK,500,245,Green,1,0
BRICK,550,245,Green,1,0
BRICK,100,270,White,1,0
BRICK,150,270,White,1,0
BRICK,200,270,White,1,0
BRICK,250,270,White,1,0
BRICK,300,270,White,1,0
BRICK,400,270,White,1,0
BRICK,450,270,White,1,0
BRICK,500,270,White,1,0
BRICK,150,295,Black,1,0
BRICK,200,295,Black,1,0
BRICK,250,295,Black,1,0
BRICK,300,295,Black,1,0
BRICK,350,295,Black,1,0
BRICK,400,295,Black,1,0
BRICK,100,95,White,1,0
BRICK,150,95,White,1,0
BRICK,200,95,White,1,0
BRICK,250,95,White,1,0
BRICK,300,95,White,1,0
BRICK,350,95,White,1,0
BRICK,400,95,White,1,0
BRICK,450,95,White,1,0
BRICK,150,70,Black,1,0
BRICK,200,70,Black,1,0
BRICK,300,70,Black,1,0
BRICK,350,70,Black,1,0
BRICK,400,70,Black,1,0
BRICK,450,70,Black,1,0
BRICK,252,122,Gray,1,7
BRICK,50,145,Red,1,3
BRICK,450,145,Red,1,3
BRICK,150,245,Green,1,5
BRICK,50,195,Blue,1,5
BRICK,50,245,Green,1,4
BRICK,350,270,White,1,2
BRICK,500,95,White,1,2
BRICK,550,120,Gray,1,1
BRICK,450,295,Black,1,1
BRICK,200,195,Blue,1,6
BRICK,400,195,Blue,1,6
BRICK,550,170,Yellow,1,1
BRICK,300,220,Pink,1,2
BRICK,550,220,Pink,1,2
BRICK,253,71,Black,1,4
